,ds,y,type,yhat,student_type,product,funnel_step
218,2018-09-01,0.0,Historical,,International,BSc Banking & Finance,enrolments
219,2019-09-01,28.0,Historical,,International,BSc Banking & Finance,enrolments
220,2019-09-01,,Forecast,28.0,International,BSc Banking & Finance,enrolments
221,2020-09-01,,Forecast,28.0,International,BSc Banking & Finance,enrolments
222,2021-09-01,,Forecast,28.0,International,BSc Banking & Finance,enrolments
223,2022-09-01,,Forecast,28.0,International,BSc Banking & Finance,enrolments
224,2017-09-01,2830734.0,Historical,,UK,Unknown,web_traffic
225,2018-09-01,2714926.0,Historical,,UK,Unknown,web_traffic
226,2019-09-01,2877430.0,Historical,,UK,Unknown,web_traffic
227,2019-09-01,,Forecast,2877430.0,UK,Unknown,web_traffic
228,2020-09-01,,Forecast,2745145.0,UK,Unknown,web_traffic
229,2021-09-01,,Forecast,2873865.0,UK,Unknown,web_traffic
230,2022-09-01,,Forecast,2748614.0,UK,Unknown,web_traffic
231,2017-09-01,77371.0,Historical,,UK,Unknown,enquiries
232,2018-09-01,68399.0,Historical,,UK,Unknown,enquiries
233,2019-09-01,80591.0,Historical,,UK,Unknown,enquiries
234,2019-09-01,,Forecast,80591.0,UK,Unknown,enquiries
235,2020-09-01,,Forecast,71200.0,UK,Unknown,enquiries
236,2021-09-01,,Forecast,79981.0,UK,Unknown,enquiries
237,2022-09-01,,Forecast,71770.0,UK,Unknown,enquiries
238,2017-09-01,,Historical,,UK,Unknown,applications
239,2018-09-01,,Historical,,UK,Unknown,applications
240,2019-09-01,,Historical,,UK,Unknown,applications
241,2019-09-01,,Forecast,,UK,Unknown,applications
242,2020-09-01,,Forecast,0.0,UK,Unknown,applications
243,2021-09-01,,Forecast,0.0,UK,Unknown,applications
244,2022-09-01,,Forecast,0.0,UK,Unknown,applications
245,2017-09-01,,Historical,,UK,Unknown,enrolments
246,2018-09-01,,Historical,,UK,Unknown,enrolments
247,2019-09-01,,Historical,,UK,Unknown,enrolments
248,2019-09-01,,Forecast,,UK,Unknown,enrolments
249,2020-09-01,,Forecast,0.0,UK,Unknown,enrolments
250,2021-09-01,,Forecast,0.0,UK,Unknown,enrolments
251,2022-09-01,,Forecast,0.0,UK,Unknown,enrolments
252,2017-09-01,356520.0,Historical,,International,Unknown,web_traffic
253,2018-09-01,265546.0,Historical,,International,Unknown,web_traffic
254,2019-09-01,350865.0,Historical,,International,Unknown,web_traffic
255,2019-09-01,,Forecast,350865.0,International,Unknown,web_traffic
256,2020-09-01,,Forecast,287911.0,International,Unknown,web_traffic
257,2021-09-01,,Forecast,338550.0,International,Unknown,web_traffic
